Yayınlandığı Tarih,Yayınlandığı Gün,Geçerli Olduğu Tarih,Geçerli Olduğu Gün,Kur,Döviz Alış,Döviz Satış
16.01.2018,Sali,17.01.2018,Carsamba,USD,3.815,3.8219
16.01.2018,Sali,17.01.2018,Carsamba,AUD,3.0275,3.0472
16.01.2018,Sali,17.01.2018,Carsamba,DKK,0.62567,0.62874
16.01.2018,Sali,17.01.2018,Carsamba,EUR,4.6679,4.6763
16.01.2018,Sali,17.01.2018,Carsamba,GBP,5.2443,5.2717
16.01.2018,Sali,17.01.2018,Carsamba,CHF,3.9454,3.9708
16.01.2018,Sali,17.01.2018,Carsamba,SEK,0.47304,0.47793
16.01.2018,Sali,17.01.2018,Carsamba,CAD,3.0641,3.0779
16.01.2018,Sali,17.01.2018,Carsamba,KWD,12.6213,12.7864
16.01.2018,Sali,17.01.2018,Carsamba,NOK,0.48271,0.48596
16.01.2018,Sali,17.01.2018,Carsamba,SAR,1.0173,1.0191
16.01.2018,Sali,17.01.2018,Carsamba,JPY,3.4378,3.4606
16.01.2018,Sali,17.01.2018,Carsamba,BGN,2.373,2.404
16.01.2018,Sali,17.01.2018,Carsamba,RON,0.998,1.0111
16.01.2018,Sali,17.01.2018,Carsamba,RUB,0.06724,0.06812
16.01.2018,Sali,17.01.2018,Carsamba,IRR,0.01038,0.01051
16.01.2018,Sali,17.01.2018,Carsamba,CNY,0.58921,0.59692
16.01.2018,Sali,17.01.2018,Carsamba,PKR,0.03425,0.0347
17.01.2018,Carsamba,18.01.2018,Persembe,USD,3.8143,3.8212
17.01.2018,Carsamba,18.01.2018,Persembe,AUD,3.0308,3.0506
17.01.2018,Carsamba,18.01.2018,Persembe,DKK,0.62503,0.6281
17.01.2018,Carsamba,18.01.2018,Persembe,EUR,4.6624,4.6708
17.01.2018,Carsamba,18.01.2018,Persembe,GBP,5.2473,5.2746
17.01.2018,Carsamba,18.01.2018,Persembe,CHF,3.9501,3.9754
17.01.2018,Carsamba,18.01.2018,Persembe,SEK,0.47163,0.47651
17.01.2018,Carsamba,18.01.2018,Persembe,CAD,3.0594,3.0732
17.01.2018,Carsamba,18.01.2018,Persembe,KWD,12.619,12.7841
17.01.2018,Carsamba,18.01.2018,Persembe,NOK,0.48281,0.48605
17.01.2018,Carsamba,18.01.2018,Persembe,SAR,1.0171,1.0189
17.01.2018,Carsamba,18.01.2018,Persembe,JPY,3.4354,3.4581
17.01.2018,Carsamba,18.01.2018,Persembe,BGN,2.3704,2.4014
17.01.2018,Carsamba,18.01.2018,Persembe,RON,0.99533,1.0084
17.01.2018,Carsamba,18.01.2018,Persembe,RUB,0.06698,0.06785
17.01.2018,Carsamba,18.01.2018,Persembe,IRR,0.01038,0.01051
17.01.2018,Carsamba,18.01.2018,Persembe,CNY,0.58932,0.59703
17.01.2018,Carsamba,18.01.2018,Persembe,PKR,0.03425,0.03469
18.01.2018,Persembe,19.01.2018,Cuma,USD,3.7967,3.8036
18.01.2018,Persembe,19.01.2018,Cuma,AUD,3.0227,3.0424
18.01.2018,Persembe,19.01.2018,Cuma,DKK,0.62196,0.62502
18.01.2018,Persembe,19.01.2018,Cuma,EUR,4.6385,4.6469
18.01.2018,Persembe,19.01.2018,Cuma,GBP,5.2487,5.276
18.01.2018,Persembe,19.01.2018,Cuma,CHF,3.9366,3.9619
18.01.2018,Persembe,19.01.2018,Cuma,SEK,0.47034,0.47521
18.01.2018,Persembe,19.01.2018,Cuma,CAD,3.0471,3.0608
18.01.2018,Persembe,19.01.2018,Cuma,KWD,12.5555,12.7198
18.01.2018,Persembe,19.01.2018,Cuma,NOK,0.48155,0.48479
18.01.2018,Persembe,19.01.2018,Cuma,SAR,1.0124,1.0142
18.01.2018,Persembe,19.01.2018,Cuma,JPY,3.4044,3.4269
18.01.2018,Persembe,19.01.2018,Cuma,BGN,2.3581,2.389
18.01.2018,Persembe,19.01.2018,Cuma,RON,0.99172,1.0047
18.01.2018,Persembe,19.01.2018,Cuma,RUB,0.06655,0.06742
18.01.2018,Persembe,19.01.2018,Cuma,IRR,0.01031,0.01045
18.01.2018,Persembe,19.01.2018,Cuma,CNY,0.58749,0.59517
18.01.2018,Persembe,19.01.2018,Cuma,PKR,0.03409,0.03453
19.01.2018,Cuma,20.01.2018,Cumartesi,USD,3.7777,3.7845
19.01.2018,Cuma,20.01.2018,Cumartesi,AUD,3.0225,3.0422
19.01.2018,Cuma,20.01.2018,Cumartesi,DKK,0.6217,0.62476
